date,close
2017-08-24,15.7031
2017-08-25,15.7316
2017-08-28,15.7031
2017-08-29,15.6555
2017-08-30,15.7316
2017-08-31,15.7791
2017-09-01,15.7887
2017-09-04,15.7601
2017-09-05,15.7791
2017-09-06,15.7126
2017-09-07,15.646
2017-09-08,15.7316
2017-09-11,15.7031
2017-09-12,15.7601
2017-09-13,15.6555
2017-09-14,15.665
2017-09-15,15.665
2017-09-18,15.8172
2017-09-19,15.7411
2017-09-20,15.6365
2017-09-21,15.7316
2017-09-22,15.5223
2017-09-25,15.3987
2017-09-26,15.2751
2017-09-27,15.3511
2017-09-28,15.2941
2017-09-29,15.3416
2017-09-30,15.4463
2017-10-02,15.5033
2017-10-03,15.5033
2017-10-05,15.5699
2017-10-06,15.6175
2017-10-11,15.8648
2017-10-12,16.0169
2017-10-13,15.9884
2017-10-16,16.074
2017-10-17,16.036
2017-10-18,16.093
2017-10-19,16.1501
2017-10-20,16.0835
2017-10-23,16.074
2017-10-24,16.055
2017-10-25,16.0455
2017-10-26,16.0264
2017-10-27,16.036
2017-10-30,16.1596
2017-10-31,16.2072
2017-11-01,16.1881
2017-11-02,16.1311
2017-11-03,16.112
2017-11-06,16.1406
2017-11-07,16.2262
2017-11-08,16.1596
2017-11-09,16.055
2017-11-10,16.0835
2017-11-13,16.036
2017-11-14,16.0074
2017-11-15,15.8457
2017-11-16,15.9028
2017-11-17,16.0455
2017-11-20,15.9789
2017-11-21,16.1216
2017-11-22,16.1976
2017-11-23,16.2072
2017-11-24,16.1976
2017-11-27,16.0074
2017-11-28,15.9028
2017-11-29,15.9218
2017-11-30,15.646
2017-12-01,15.7126
2017-12-04,15.7696
2017-12-05,15.646
2017-12-06,15.3797
2017-12-07,15.3892
2017-12-08,15.3892
2017-12-11,15.5033
2017-12-12,15.3987
2017-12-13,15.4082
2017-12-14,15.5509
2017-12-15,15.4272
2017-12-18,15.4463
2017-12-19,15.3702
2017-12-20,15.4177
2017-12-21,15.4082
2017-12-22,15.4653
2017-12-25,15.4938
2017-12-26,15.3416
2017-12-27,15.3892
2017-12-28,15.5414
2017-12-29,15.627
2018-01-02,15.7126
2018-01-03,15.8552
2018-01-04,15.8838
2018-01-05,15.9313
2018-01-08,15.9979
2018-01-09,16.0074
2018-01-10,15.9313
2018-01-11,15.8648
2018-01-12,15.9979
2018-01-15,16.1025
2018-01-16,16.1691
2018-01-17,16.1976
2018-01-18,16.4164
2018-01-19,16.5781
2018-01-22,16.7303
2018-01-23,16.7969
2018-01-24,16.5876
2018-01-25,16.6352
2018-01-26,16.6447
2018-01-29,16.6935
2018-01-30,16.4984
2018-01-31,16.5179
2018-02-01,16.635
2018-02-02,16.5667
2018-02-05,16.313
2018-02-06,15.5423
2018-02-07,15.7374
2018-02-08,15.7276
2018-02-09,15.4252
2018-02-12,15.552
2018-02-21,15.9033
2018-02-22,15.8057
2018-02-23,16.0008
2018-02-26,16.0789
2018-02-27,16.0691
2018-03-01,15.952
2018-03-02,15.835
2018-03-05,15.7569
2018-03-06,16.0301
2018-03-07,15.9618
2018-03-08,16.1472
2018-03-09,16.1667
2018-03-12,16.4204
2018-03-13,16.5765
2018-03-14,16.4496
2018-03-15,16.4399
2018-03-16,16.3716
2018-03-19,16.3618
2018-03-20,16.3521
2018-03-21,16.3618
2018-03-22,16.3033
2018-03-23,16.0203
2018-03-26,16.0399
2018-03-27,16.274
2018-03-28,16.0496
2018-03-29,16.0203
2018-03-30,16.1667
2018-03-31,16.1862
2018-04-02,16.0496
2018-04-03,15.9033
2018-04-09,16.0399
2018-04-10,16.0984
2018-04-11,16.1667
2018-04-12,16.0984
2018-04-13,16.0984
2018-04-16,16.0594
2018-04-17,15.8837
2018-04-18,15.9228
2018-04-19,16.1277
2018-04-20,15.7569
2018-04-23,15.6008
2018-04-24,15.5228
2018-04-25,15.474
2018-04-26,15.4252
2018-04-27,15.4545
2018-04-30,15.6106
2018-05-02,15.4935
2018-05-03,15.3276
2018-05-04,15.4057
2018-05-07,15.513
2018-05-08,15.6106
2018-05-09,15.6984
2018-05-10,15.7374
2018-05-11,15.9228
2018-05-14,16.0984
2018-05-15,15.9325
2018-05-16,15.952
2018-05-17,15.8447
2018-05-18,15.7959
2018-05-21,16.0106
2018-05-22,15.952
2018-05-23,15.874
2018-05-24,15.913
2018-05-25,15.9716
2018-05-28,16.0399
2018-05-29,15.9716
2018-05-30,15.6886
2018-05-31,15.7569
2018-06-01,15.874
2018-06-04,16.1179
2018-06-05,16.0984
2018-06-06,16.2545
2018-06-07,16.2838
2018-06-08,16.1081
2018-06-11,16.1277
2018-06-12,16.0984
2018-06-13,16.196
2018-06-14,15.952
2018-06-15,15.9911
2018-06-19,15.7276
2018-06-20,15.9033
2018-06-21,15.8545
2018-06-22,15.835
2018-06-25,15.7862
2018-06-26,15.7472
2018-06-27,15.6886
2018-06-28,15.6203
2018-06-29,15.8935
2018-07-02,15.8154
2018-07-03,15.835
2018-07-04,15.8837
2018-07-05,15.7569
2018-07-06,15.7959
2018-07-09,16.0496
2018-07-10,16.0886
2018-07-11,15.9423
2018-07-12,16.1277
2018-07-13,16.2643
2018-07-16,16.196
2018-07-17,16.1081
2018-07-18,16.2057
2018-07-19,16.2545
2018-07-20,16.5179
2018-07-23,16.636
2018-07-24,16.6655
2018-07-25,16.6753
2018-07-26,16.7245
2018-07-27,16.8623
2018-07-30,16.8327
2018-07-31,16.8327
2018-08-01,16.9508
2018-08-02,16.695
2018-08-03,16.8327
2018-08-06,16.8623
2018-08-07,16.8229
2018-08-08,16.9508
2018-08-09,16.9508
2018-08-10,16.8623
2018-08-13,16.5179
2018-08-14,16.636
2018-08-15,16.4786
2018-08-16,16.4884
2018-08-17,16.4589
2018-08-20,16.5179
2018-08-21,16.636
2018-08-22,16.6557
2018-08-23,16.7344
2018-08-24,16.6852
2018-08-27,16.8327
2018-08-28,16.9705
2018-08-29,17.1672
2018-08-30,17.2263
2018-08-31,17.1082
2018-09-03,17.0098
2018-09-04,17.118
2018-09-05,17.118
2018-09-06,17.0197
2018-09-07,17.0
2018-09-10,16.9213
2018-09-11,16.8524
2018-09-12,16.8327
2018-09-13,16.7147
2018-09-14,17.0197
2018-09-17,16.8918
2018-09-18,16.8032
2018-09-19,16.9508
2018-09-20,16.9016
2018-09-21,17.0885
2018-09-25,17.1377
2018-09-26,17.0984
2018-09-27,17.1869
2018-09-28,17.0984
2018-10-01,17.1869
2018-10-02,16.9311
2018-10-03,16.9114
2018-10-04,16.7048
2018-10-05,16.4195
2018-10-08,16.331
2018-10-09,16.3802
2018-10-11,15.2292
2018-10-12,15.7506
2018-10-15,15.5833
2018-10-16,15.603
2018-10-17,15.6227
2018-10-18,15.5735
2018-10-19,15.603
2018-10-22,15.5833
2018-10-23,15.298
2018-10-24,15.2292
2018-10-25,14.8553
2018-10-26,14.8356
2018-10-29,14.9045
2018-10-30,14.9439
2018-10-31,15.2587
2018-11-01,15.4259
2018-11-02,15.4751
2018-11-05,15.3964
2018-11-06,15.3472
2018-11-07,15.4259
2018-11-08,15.5145
2018-11-09,15.3079
2018-11-12,15.3472
2018-11-13,15.1701
2018-11-14,15.2193
2018-11-15,15.2685
2018-11-16,15.1406
2018-11-19,15.0914
2018-11-20,14.9537
2018-11-21,14.9537
2018-11-22,14.875
2018-11-23,14.8258
2018-11-26,14.9832
2018-11-27,14.9635
2018-11-28,15.1308
2018-11-29,15.1603
2018-11-30,15.1013
2018-12-03,15.5046
2018-12-04,15.3964
2018-12-05,15.0816
2018-12-06,14.7766
2018-12-07,14.8455
2018-12-10,14.6487
2018-12-11,14.7668
2018-12-12,14.993
2018-12-13,15.0127
2018-12-14,14.8258
2018-12-17,14.9439
2018-12-18,14.816
2018-12-19,14.934
2018-12-20,14.7668
2018-12-21,14.7963
2018-12-22,14.7274
2018-12-24,14.6979
2018-12-25,14.511
2018-12-26,14.4716
2018-12-27,14.7668
2018-12-28,14.8553
2019-01-02,14.57
2019-01-03,14.4323
2019-01-04,14.206
2019-01-07,14.5503
2019-01-08,14.4913
2019-01-09,14.7569
2019-01-10,14.7176
2019-01-11,14.8553
2019-01-14,14.7569
2019-01-15,14.8848
2019-01-16,14.8651
2019-01-17,14.8651
2019-01-18,14.9439
2019-01-21,15.0521
2019-01-22,15.0216
2019-01-23,14.9506
2019-01-24,15.0216
2019-01-25,15.2143
2019-01-28,15.2447
2019-01-29,15.1129
2019-01-30,15.0824
2019-02-11,15.2447
2019-02-12,15.3462
2019-02-13,15.3157
2019-02-14,15.265
2019-02-15,15.2244
2019-02-18,15.3462
2019-02-19,15.3157
2019-02-20,15.4882
2019-02-21,15.6403
2019-02-22,15.6099
2019-02-25,15.7214
2019-02-26,15.762
2019-02-27,15.7519
2019-03-04,15.6099
2019-03-05,15.5693
2019-03-06,15.6099
2019-03-07,15.549
2019-03-08,15.4172
2019-03-11,15.4476
2019-03-12,15.6707
2019-03-13,15.6403
2019-03-14,15.6302
2019-03-15,15.7417
2019-03-18,15.8432
2019-03-19,15.904
2019-03-20,15.9243
2019-03-21,16.0562
2019-03-22,16.0967
2019-03-25,15.8533
2019-03-26,15.9547
2019-03-27,15.9243
2019-03-28,15.9243
2019-03-29,16.0562
2019-04-01,16.1982
2019-04-02,16.259
2019-04-03,16.259
2019-04-08,16.4112
2019-04-09,16.5126
2019-04-10,16.5329
2019-04-11,16.4619
2019-04-12,16.4517
2019-04-15,16.6039
2019-04-16,16.6546
2019-04-17,16.7864
2019-04-18,16.7763
2019-04-19,16.7966
2019-04-22,16.7763
2019-04-23,16.8473
2019-04-24,16.8777
2019-04-25,16.9183
2019-04-26,16.7256
